,name,xP
0,Aaron Ramsey,0.99
1,Abdoulaye Doucoure,5.839000000000006
2,Adama Traore,1.5
3,Alex Iwobi,3.800000000000007
4,Alexis Mac Allister,2.9
5,Amadou Onana,4.347
6,Anass Zaroury,0.85
7,Ben Doak,0.99
8,Bertrand Traore,0.99
9,Boubacar Kamara,2.9600000000000057
10,Bryan Mbeumo,6.682000000000008
11,Bukayo Saka,5.230999999999991
12,Carney Chukwuemeka,2.93
13,Cheick Doucoure,2.9
14,Cole Palmer,0.97
15,Conor Gallagher,3.7000000000000073
16,Curtis Jones,0.91
17,David Brooks,2.6950000000000047
18,Declan Rice,3.7200000000000073
19,Dominik Szoboszlai,3.750000000000008
20,Dwight McNeil,0.9
21,Eberechi Eze,5.412000000000005
22,Enzo Fernandez,4.236000000000005
23,Fabio Vieira,2.506
24,Frank Onyeka,2.466000000000004
25,Gabriel Martinelli,4.200000000000007
26,Harrison Reed,3.170000000000006
27,Harry Wilson,3.190000000000006
28,Harvey Elliott,0.91
29,Ian Maatsen,1.0
30,Jack Cork,0.96
31,Jack Grealish,4.519000000000007
32,Jacob Bruun Larsen,0.94
33,Jaidon Anthony,0.93
34,James Garner,3.150000000000006
35,Jeffrey Schlupp,3.640000000000007
36,Jeremy Doku,1.87
37,Joao Palhinha,0.92
38,Joe Rothwell,2.91
39,John McGinn,4.110000000000007
40,Jordan Ayew,4.570000000000008
41,Josh Brownhill,2.0865303217419577
42,Josh Cullen,3.0900000000000056
43,Josh Dasilva,1.0
44,Justin Kluivert,1.47
45,Kai Havertz,4.506000000000007
46,Kalvin Phillips,0.93
47,Kevin De Bruyne,1.5899999999999972
48,Kevin Schade,2.1300000000000034
49,Leandro Trossard,1.8700000000000037
50,Leon Bailey,2.0799999999999965
51,Lesley Ugochukwu,1.0
52,Lewis Cook,1.91
53,Lewis Dobbin,0.94
54,Luca Koleosho,3.8400000000000047
55,Luis Diaz,4.796000000000007
56,Luke Berry,1.0
57,Luke Harris,3.4820000000000007
58,Marcus Tavernier,3.9289999999999994
59,Martin Odegaard,3.27
60,Marvelous Nakamba,3.083000000000006
61,Mateo Kovacic,3.560000000000004
62,Mathias Jensen,3.5530000000000035
63,Mikkel Damsgaard,0.92
64,Mohamed Salah,5.494999999999992
65,Moises Caicedo,2.88
66,Moussa Diaby,5.012999999999994
67,Mykhailo Mudryk,0.96
68,Naouirou Ahamada,0.82
69,Nathan Redmond,1.299999999999999
70,Nicolo Zaniolo,1.5
71,Noni Madueke,0.95
72,Oscar Bobb,0.97
73,Pelly Ruddock Mpanzu,1.47
74,Phil Foden,3.810000000000005
75,Philip Billing,4.220000000000008
76,Raheem Sterling,4.929000000000007
77,Reiss Nelson,1.0
78,Ross Barkley,2.934
79,Ryan Christie,3.170000000000006
80,Sander Berge,2.68
81,Shandon Baptiste,0.97
82,Tahith Chong,3.41
83,Thomas Partey,2.68
84,Tom Cairney,0.87
85,Tyler Onyango,1.0
86,Vitaly Janelt,2.66
87,Wataru Endo,0.9
88,Will Hughes,1.089999999999998
89,Youri Tielemans,0.88
